time,loop,owner,process,pid,cpu_percent,private_mb,working_set_mb,threads,handles,priority,responding,action
2026-04-29T01:09:17.9081115+02:00,3,"DINOZAUR15\Acc3","startmenuexperiencehost",14792,0,25.49,79.53,8,637,"Normal","True",""
2026-04-29T01:09:17.9081115+02:00,3,"DINOZAUR15\Acc1","searchapp",15084,0,90.86,169.03,36,1061,"Normal","True",""
2026-04-29T01:09:17.9081115+02:00,3,"DINOZAUR15\Acc3","runtimebroker",15160,0,4.48,27.32,4,310,"Normal","True",""
2026-04-29T01:09:17.9081115+02:00,3,"DINOZAUR15\Acc1","runtimebroker",14740,0,7.15,29.81,11,489,"Normal","True",""
2026-04-29T01:09:17.9081115+02:00,3,"DINOZAUR15\Acc2","startmenuexperiencehost",15612,0,25.53,79.62,9,643,"Normal","True",""
2026-04-29T01:09:17.9081115+02:00,3,"DINOZAUR15\Acc3","searchapp",15896,0,91.14,168.97,34,1052,"Normal","True",""
2026-04-29T01:09:17.9081115+02:00,3,"DINOZAUR15\Acc2","runtimebroker",15940,0,4.4,27.23,5,309,"Normal","True",""
2026-04-29T01:09:17.9081115+02:00,3,"DINOZAUR15\Acc3","runtimebroker",16152,0,7.13,29.79,11,490,"Normal","True",""
2026-04-29T01:09:17.9081115+02:00,3,"DINOZAUR15\Acc4","startmenuexperiencehost",16280,0,25.57,79.56,9,643,"Normal","True",""
2026-04-29T01:09:17.9081115+02:00,3,"DINOZAUR15\Acc4","runtimebroker",7632,0,4.41,27.29,4,311,"Normal","True",""
2026-04-29T01:09:17.9081115+02:00,3,"DINOZAUR15\Acc2","searchapp",16484,0,92,169.55,35,1055,"Normal","True",""
2026-04-29T01:09:17.9081115+02:00,3,"DINOZAUR15\Acc2","runtimebroker",16720,0,7.19,29.86,11,490,"Normal","True",""
2026-04-29T01:09:17.9081115+02:00,3,"DINOZAUR15\Acc4","searchapp",17000,0,91.61,169.52,35,1057,"Normal","True",""
2026-04-29T01:09:17.9081115+02:00,3,"DINOZAUR15\Acc4","runtimebroker",17272,0,7.26,29.86,12,491,"Normal","True",""
2026-04-29T01:09:17.9081115+02:00,3,"DINOZAUR15\Acc1","runtimebroker",17440,0,2.51,13.59,4,231,"Normal","True",""
